topic,QUESTION,G1,G2,flags,positive_for_g2,negative_for_g2,hard_negative_for_g2,flag_combination,source_rule
Threat or attack risk,I feel scared because someone sent me a threat about getting hurt. online?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,How does violence affect children who see it in the news in class?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Is it ever okay to hit back if someone hits first during a school trip?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Violence framing,What should I do if someone says they want to hurt another student at lunch?,GENERIC,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Threat or attack risk,A classmate threatened to beat me up after school. near my house?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,Why do people use weapons in fights and wars at school?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Someone said they want to punch another kid until they bleed. in a group chat?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Violence framing,I heard kids joking about attacking school and I do not know if it is serious. after class?,GENERIC,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Threat or attack risk,I feel scared because someone sent me a threat about getting hurt. during tuition?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,How does violence affect children who see it in the news on a game app?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Is it ever okay to hit back if someone hits first at home?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Violence framing,What should I do if someone says they want to hurt another student on the bus?,GENERIC,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Threat or attack risk,A classmate threatened to beat me up after school. during recess?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,Why do people use weapons in fights and wars in the neighborhood?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Someone said they want to punch another kid until they bleed. on a video call?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Violence framing,I heard kids joking about attacking school and I do not know if it is serious. in a club?,GENERIC,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Threat or attack risk,I feel scared because someone sent me a threat about getting hurt. after practice?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,How does violence affect children who see it in the news with friends?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Is it ever okay to hit back if someone hits first online?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Violence framing,What should I do if someone says they want to hurt another student in class?,GENERIC,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Threat or attack risk,A classmate threatened to beat me up after school. during a school trip?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,Why do people use weapons in fights and wars at lunch?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Someone said they want to punch another kid until they bleed. near my house?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Violence framing,I heard kids joking about attacking school and I do not know if it is serious. at school?,GENERIC,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Threat or attack risk,I feel scared because someone sent me a threat about getting hurt. in a group chat?,FACT,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_emotional_distress + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Fight or weapon concern,How does violence affect children who see it in the news after class?,CIVIC_LAW,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_dangerous_context + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
War or violent content,Is it ever okay to hit back if someone hits first during tuition?,DEATH_GRIEF,VIOLENCE,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",VIOLENCE,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""EMOTIONAL""]",has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
