term,example
wilding,"The caption under the selfie was just, ""wilding,"" with three laughing emojis."
wilding,"In a movie-scene kind of exchange, one kid leans over and goes, ""wilding."""
wilding,"Walking out of class, I heard someone say, ""wilding,"" like the whole thing was obvious."
crash out,"In the group chat somebody typed, ""crash out,"" and five people answered at once."
crash out,"At the lunch table one friend said, ""crash out,"" and everybody knew what she meant."
crash out,"The caption under the selfie was just, ""crash out,"" with three laughing emojis."
crash out,"In a movie-scene kind of exchange, one kid leans over and goes, ""crash out."""
crash out,"Walking out of class, I heard someone say, ""crash out,"" like the whole thing was obvious."
crashing out,"In the group chat somebody typed, ""crashing out,"" and five people answered at once."
crashing out,"At the lunch table one friend said, ""crashing out,"" and everybody knew what she meant."
crashing out,"The caption under the selfie was just, ""crashing out,"" with three laughing emojis."
crashing out,"In a movie-scene kind of exchange, one kid leans over and goes, ""crashing out."""
crashing out,"Walking out of class, I heard someone say, ""crashing out,"" like the whole thing was obvious."
corny,"At the lunch table somebody went, ""corny? Yeah, that is exactly what he is."""
corny,"In the group chat one kid replied, ""corny, just log off already."""
corny,"The hallway argument ended with, ""Be quiet, corny."""
corny,"In the script-style exchange, one friend mutters, ""corny,"" and walks away."
corny,"A caption under the video read, ""Whole comment section acting corny today."""
cheugy,"At the lunch table somebody went, ""cheugy? Yeah, that is exactly what he is."""
cheugy,"In the group chat one kid replied, ""cheugy, just log off already."""
cheugy,"The hallway argument ended with, ""Be quiet, cheugy."""
cheugy,"In the script-style exchange, one friend mutters, ""cheugy,"" and walks away."
cheugy,"A caption under the video read, ""Whole comment section acting cheugy today."""
cheug,"At the lunch table somebody went, ""cheug? Yeah, that is exactly what he is."""
cheug,"In the group chat one kid replied, ""cheug, just log off already."""
cheug,"The hallway argument ended with, ""Be quiet, cheug."""
cheug,"In the script-style exchange, one friend mutters, ""cheug,"" and walks away."
cheug,"A caption under the video read, ""Whole comment section acting cheug today."""
sassy,"In the group chat somebody typed, ""sassy,"" and five people answered at once."
sassy,"At the lunch table one friend said, ""sassy,"" and everybody knew what she meant."
sassy,"The caption under the selfie was just, ""sassy,"" with three laughing emojis."
sassy,"In a movie-scene kind of exchange, one kid leans over and goes, ""sassy."""
sassy,"Walking out of class, I heard someone say, ""sassy,"" like the whole thing was obvious."
zesty,"At the lunch table somebody went, ""zesty? Yeah, that is exactly what he is."""
zesty,"In the group chat one kid replied, ""zesty, just log off already."""
zesty,"The hallway argument ended with, ""Be quiet, zesty."""
zesty,"In the script-style exchange, one friend mutters, ""zesty,"" and walks away."
zesty,"A caption under the video read, ""Whole comment section acting zesty today."""
feral,"In the group chat somebody typed, ""feral,"" and five people answered at once."
feral,"At the lunch table one friend said, ""feral,"" and everybody knew what she meant."
feral,"The caption under the selfie was just, ""feral,"" with three laughing emojis."
feral,"In a movie-scene kind of exchange, one kid leans over and goes, ""feral."""
feral,"Walking out of class, I heard someone say, ""feral,"" like the whole thing was obvious."
ick,"In the group chat somebody typed, ""ick,"" and five people answered at once."
ick,"At the lunch table one friend said, ""ick,"" and everybody knew what she meant."
ick,"The caption under the selfie was just, ""ick,"" with three laughing emojis."
ick,"In a movie-scene kind of exchange, one kid leans over and goes, ""ick."""
ick,"Walking out of class, I heard someone say, ""ick,"" like the whole thing was obvious."
the ick,"In the group chat somebody typed, ""the ick,"" and five people answered at once."
the ick,"At the lunch table one friend said, ""the ick,"" and everybody knew what she meant."
the ick,"The caption under the selfie was just, ""the ick,"" with three laughing emojis."
the ick,"In a movie-scene kind of exchange, one kid leans over and goes, ""the ick."""
the ick,"Walking out of class, I heard someone say, ""the ick,"" like the whole thing was obvious."
hard launch,"In the group chat somebody typed, ""hard launch,"" and five people answered at once."
hard launch,"At the lunch table one friend said, ""hard launch,"" and everybody knew what she meant."
hard launch,"The caption under the selfie was just, ""hard launch,"" with three laughing emojis."
hard launch,"In a movie-scene kind of exchange, one kid leans over and goes, ""hard launch."""
hard launch,"Walking out of class, I heard someone say, ""hard launch,"" like the whole thing was obvious."
soft block,"In the group chat somebody typed, ""soft block,"" and five people answered at once."
soft block,"At the lunch table one friend said, ""soft block,"" and everybody knew what she meant."
soft block,"The caption under the selfie was just, ""soft block,"" with three laughing emojis."
soft block,"In a movie-scene kind of exchange, one kid leans over and goes, ""soft block."""
soft block,"Walking out of class, I heard someone say, ""soft block,"" like the whole thing was obvious."
hard block,"In the group chat somebody typed, ""hard block,"" and five people answered at once."
hard block,"At the lunch table one friend said, ""hard block,"" and everybody knew what she meant."
hard block,"The caption under the selfie was just, ""hard block,"" with three laughing emojis."
hard block,"In a movie-scene kind of exchange, one kid leans over and goes, ""hard block."""
hard block,"Walking out of class, I heard someone say, ""hard block,"" like the whole thing was obvious."
unadd,"In the group chat somebody typed, ""unadd,"" and five people answered at once."
unadd,"At the lunch table one friend said, ""unadd,"" and everybody knew what she meant."
unadd,"The caption under the selfie was just, ""unadd,"" with three laughing emojis."
unadd,"In a movie-scene kind of exchange, one kid leans over and goes, ""unadd."""
unadd,"Walking out of class, I heard someone say, ""unadd,"" like the whole thing was obvious."
unfriend me then,"In the group chat somebody typed, ""unfriend me then,"" and five people answered at once."
unfriend me then,"At the lunch table one friend said, ""unfriend me then,"" and everybody knew what she meant."
unfriend me then,"The caption under the selfie was just, ""unfriend me then,"" with three laughing emojis."
unfriend me then,"In a movie-scene kind of exchange, one kid leans over and goes, ""unfriend me then."""
unfriend me then,"Walking out of class, I heard someone say, ""unfriend me then,"" like the whole thing was obvious."
blocked and reported,"In the group chat somebody typed, ""blocked and reported,"" and five people answered at once."
blocked and reported,"At the lunch table one friend said, ""blocked and reported,"" and everybody knew what she meant."
blocked and reported,"The caption under the selfie was just, ""blocked and reported,"" with three laughing emojis."
blocked and reported,"In a movie-scene kind of exchange, one kid leans over and goes, ""blocked and reported."""
blocked and reported,"Walking out of class, I heard someone say, ""blocked and reported,"" like the whole thing was obvious."
caught in 4k,"In the group chat somebody typed, ""caught in 4k,"" and five people answered at once."
caught in 4k,"At the lunch table one friend said, ""caught in 4k,"" and everybody knew what she meant."
caught in 4k,"The caption under the selfie was just, ""caught in 4k,"" with three laughing emojis."
caught in 4k,"In a movie-scene kind of exchange, one kid leans over and goes, ""caught in 4k."""
caught in 4k,"Walking out of class, I heard someone say, ""caught in 4k,"" like the whole thing was obvious."
in 4k,"In the group chat somebody typed, ""in 4k,"" and five people answered at once."
in 4k,"At the lunch table one friend said, ""in 4k,"" and everybody knew what she meant."
in 4k,"The caption under the selfie was just, ""in 4k,"" with three laughing emojis."
in 4k,"In a movie-scene kind of exchange, one kid leans over and goes, ""in 4k."""
in 4k,"Walking out of class, I heard someone say, ""in 4k,"" like the whole thing was obvious."
clock it,"In the group chat somebody typed, ""clock it,"" and five people answered at once."
clock it,"At the lunch table one friend said, ""clock it,"" and everybody knew what she meant."
clock it,"The caption under the selfie was just, ""clock it,"" with three laughing emojis."
clock it,"In a movie-scene kind of exchange, one kid leans over and goes, ""clock it."""
clock it,"Walking out of class, I heard someone say, ""clock it,"" like the whole thing was obvious."
clocked,"In the group chat somebody typed, ""clocked,"" and five people answered at once."
clocked,"At the lunch table one friend said, ""clocked,"" and everybody knew what she meant."
clocked,"The caption under the selfie was just, ""clocked,"" with three laughing emojis."
clocked,"In a movie-scene kind of exchange, one kid leans over and goes, ""clocked."""
clocked,"Walking out of class, I heard someone say, ""clocked,"" like the whole thing was obvious."
you thought you ate,"At the lunch table somebody went, ""you thought you ate? Yeah, that is exactly what he is."""
you thought you ate,"In the group chat one kid replied, ""you thought you ate, just log off already."""
you thought you ate,"The hallway argument ended with, ""Be quiet, you thought you ate."""
you thought you ate,"In the script-style exchange, one friend mutters, ""you thought you ate,"" and walks away."
you thought you ate,"A caption under the video read, ""Whole comment section acting you thought you ate today."""
who asked,"At the lunch table somebody went, ""who asked? Yeah, that is exactly what he is."""
who asked,"In the group chat one kid replied, ""who asked, just log off already."""
who asked,"The hallway argument ended with, ""Be quiet, who asked."""
who asked,"In the script-style exchange, one friend mutters, ""who asked,"" and walks away."
who asked,"A caption under the video read, ""Whole comment section acting who asked today."""
be so serious,"In the group chat somebody typed, ""be so serious,"" and five people answered at once."
be so serious,"At the lunch table one friend said, ""be so serious,"" and everybody knew what she meant."
be so serious,"The caption under the selfie was just, ""be so serious,"" with three laughing emojis."
be so serious,"In a movie-scene kind of exchange, one kid leans over and goes, ""be so serious."""
be so serious,"Walking out of class, I heard someone say, ""be so serious,"" like the whole thing was obvious."
bffr right now,"In the group chat somebody typed, ""bffr right now,"" and five people answered at once."
bffr right now,"At the lunch table one friend said, ""bffr right now,"" and everybody knew what she meant."
bffr right now,"The caption under the selfie was just, ""bffr right now,"" with three laughing emojis."
bffr right now,"In a movie-scene kind of exchange, one kid leans over and goes, ""bffr right now."""
bffr right now,"Walking out of class, I heard someone say, ""bffr right now,"" like the whole thing was obvious."
cry about it,"At the lunch table somebody went, ""cry about it? Yeah, that is exactly what he is."""
cry about it,"In the group chat one kid replied, ""cry about it, just log off already."""
cry about it,"The hallway argument ended with, ""Be quiet, cry about it."""
cry about it,"In the script-style exchange, one friend mutters, ""cry about it,"" and walks away."
cry about it,"A caption under the video read, ""Whole comment section acting cry about it today."""
stay mad,"At the lunch table somebody went, ""stay mad? Yeah, that is exactly what he is."""
stay mad,"In the group chat one kid replied, ""stay mad, just log off already."""
stay mad,"The hallway argument ended with, ""Be quiet, stay mad."""
stay mad,"In the script-style exchange, one friend mutters, ""stay mad,"" and walks away."
stay mad,"A caption under the video read, ""Whole comment section acting stay mad today."""
mad for what,"At the lunch table somebody went, ""mad for what? Yeah, that is exactly what he is."""
mad for what,"In the group chat one kid replied, ""mad for what, just log off already."""
mad for what,"The hallway argument ended with, ""Be quiet, mad for what."""
mad for what,"In the script-style exchange, one friend mutters, ""mad for what,"" and walks away."
mad for what,"A caption under the video read, ""Whole comment section acting mad for what today."""
you wish,"At the lunch table somebody went, ""you wish? Yeah, that is exactly what he is."""
you wish,"In the group chat one kid replied, ""you wish, just log off already."""
you wish,"The hallway argument ended with, ""Be quiet, you wish."""
you wish,"In the script-style exchange, one friend mutters, ""you wish,"" and walks away."
you wish,"A caption under the video read, ""Whole comment section acting you wish today."""
rent free,"At the lunch table somebody went, ""rent free? Yeah, that is exactly what he is."""
rent free,"In the group chat one kid replied, ""rent free, just log off already."""
rent free,"The hallway argument ended with, ""Be quiet, rent free."""
rent free,"In the script-style exchange, one friend mutters, ""rent free,"" and walks away."
rent free,"A caption under the video read, ""Whole comment section acting rent free today."""
not the,"In the group chat somebody typed, ""not the,"" and five people answered at once."
not the,"At the lunch table one friend said, ""not the,"" and everybody knew what she meant."
not the,"The caption under the selfie was just, ""not the,"" with three laughing emojis."
not the,"In a movie-scene kind of exchange, one kid leans over and goes, ""not the."""
not the,"Walking out of class, I heard someone say, ""not the,"" like the whole thing was obvious."
side eye,"At the lunch table somebody went, ""side eye? Yeah, that is exactly what he is."""
side eye,"In the group chat one kid replied, ""side eye, just log off already."""
side eye,"The hallway argument ended with, ""Be quiet, side eye."""
side eye,"In the script-style exchange, one friend mutters, ""side eye,"" and walks away."
side eye,"A caption under the video read, ""Whole comment section acting side eye today."""
bombastic side eye,"At the lunch table somebody went, ""bombastic side eye? Yeah, that is exactly what he is."""
bombastic side eye,"In the group chat one kid replied, ""bombastic side eye, just log off already."""
bombastic side eye,"The hallway argument ended with, ""Be quiet, bombastic side eye."""
bombastic side eye,"In the script-style exchange, one friend mutters, ""bombastic side eye,"" and walks away."
bombastic side eye,"A caption under the video read, ""Whole comment section acting bombastic side eye today."""
criminal offensive side eye,"At the lunch table somebody went, ""criminal offensive side eye? Yeah, that is exactly what he is."""
criminal offensive side eye,"In the group chat one kid replied, ""criminal offensive side eye, just log off already."""
criminal offensive side eye,"The hallway argument ended with, ""Be quiet, criminal offensive side eye."""
criminal offensive side eye,"In the script-style exchange, one friend mutters, ""criminal offensive side eye,"" and walks away."
criminal offensive side eye,"A caption under the video read, ""Whole comment section acting criminal offensive side eye today."""
period,"In the group chat somebody typed, ""period,"" and five people answered at once."
period,"At the lunch table one friend said, ""period,"" and everybody knew what she meant."
period,"The caption under the selfie was just, ""period,"" with three laughing emojis."
period,"In a movie-scene kind of exchange, one kid leans over and goes, ""period."""
period,"Walking out of class, I heard someone say, ""period,"" like the whole thing was obvious."
periodt,"In the group chat somebody typed, ""periodt,"" and five people answered at once."
periodt,"At the lunch table one friend said, ""periodt,"" and everybody knew what she meant."
periodt,"The caption under the selfie was just, ""periodt,"" with three laughing emojis."
periodt,"In a movie-scene kind of exchange, one kid leans over and goes, ""periodt."""
periodt,"Walking out of class, I heard someone say, ""periodt,"" like the whole thing was obvious."
as you should,"In the group chat somebody typed, ""as you should,"" and five people answered at once."
as you should,"At the lunch table one friend said, ""as you should,"" and everybody knew what she meant."
as you should,"The caption under the selfie was just, ""as you should,"" with three laughing emojis."
as you should,"In a movie-scene kind of exchange, one kid leans over and goes, ""as you should."""
as you should,"Walking out of class, I heard someone say, ""as you should,"" like the whole thing was obvious."
delusionship,"In the group chat somebody typed, ""delusionship,"" and five people answered at once."
delusionship,"At the lunch table one friend said, ""delusionship,"" and everybody knew what she meant."
delusionship,"The caption under the selfie was just, ""delusionship,"" with three laughing emojis."
delusionship,"In a movie-scene kind of exchange, one kid leans over and goes, ""delusionship."""
delusionship,"Walking out of class, I heard someone say, ""delusionship,"" like the whole thing was obvious."
friendzoned,"In the group chat somebody typed, ""friendzoned,"" and five people answered at once."
friendzoned,"At the lunch table one friend said, ""friendzoned,"" and everybody knew what she meant."
friendzoned,"The caption under the selfie was just, ""friendzoned,"" with three laughing emojis."
friendzoned,"In a movie-scene kind of exchange, one kid leans over and goes, ""friendzoned."""
friendzoned,"Walking out of class, I heard someone say, ""friendzoned,"" like the whole thing was obvious."
down bad,"In the group chat somebody typed, ""down bad,"" and five people answered at once."
down bad,"At the lunch table one friend said, ""down bad,"" and everybody knew what she meant."
down bad,"The caption under the selfie was just, ""down bad,"" with three laughing emojis."
down bad,"In a movie-scene kind of exchange, one kid leans over and goes, ""down bad."""
down bad,"Walking out of class, I heard someone say, ""down bad,"" like the whole thing was obvious."
caught feelings,"In the group chat somebody typed, ""caught feelings,"" and five people answered at once."
caught feelings,"At the lunch table one friend said, ""caught feelings,"" and everybody knew what she meant."
caught feelings,"The caption under the selfie was just, ""caught feelings,"" with three laughing emojis."
caught feelings,"In a movie-scene kind of exchange, one kid leans over and goes, ""caught feelings."""
caught feelings,"Walking out of class, I heard someone say, ""caught feelings,"" like the whole thing was obvious."
main feed,"In the group chat somebody typed, ""main feed,"" and five people answered at once."
main feed,"At the lunch table one friend said, ""main feed,"" and everybody knew what she meant."
main feed,"The caption under the selfie was just, ""main feed,"" with three laughing emojis."
main feed,"In a movie-scene kind of exchange, one kid leans over and goes, ""main feed."""
main feed,"Walking out of class, I heard someone say, ""main feed,"" like the whole thing was obvious."
finsta,"In the group chat somebody typed, ""finsta,"" and five people answered at once."
finsta,"At the lunch table one friend said, ""finsta,"" and everybody knew what she meant."
finsta,"The caption under the selfie was just, ""finsta,"" with three laughing emojis."
finsta,"In a movie-scene kind of exchange, one kid leans over and goes, ""finsta."""
finsta,"Walking out of class, I heard someone say, ""finsta,"" like the whole thing was obvious."
spam account,"In the group chat somebody typed, ""spam account,"" and five people answered at once."
spam account,"At the lunch table one friend said, ""spam account,"" and everybody knew what she meant."
spam account,"The caption under the selfie was just, ""spam account,"" with three laughing emojis."
spam account,"In a movie-scene kind of exchange, one kid leans over and goes, ""spam account."""
spam account,"Walking out of class, I heard someone say, ""spam account,"" like the whole thing was obvious."
face reveal,"In the group chat somebody typed, ""face reveal,"" and five people answered at once."
face reveal,"At the lunch table one friend said, ""face reveal,"" and everybody knew what she meant."
face reveal,"The caption under the selfie was just, ""face reveal,"" with three laughing emojis."
face reveal,"In a movie-scene kind of exchange, one kid leans over and goes, ""face reveal."""
face reveal,"Walking out of class, I heard someone say, ""face reveal,"" like the whole thing was obvious."
feet pics,"The DM got weird fast when someone typed, ""feet pics,"" and waited for a reply."
feet pics,"At the back of the room they were giggling over a message that said, ""feet pics."""
feet pics,"The comment section got shut down after one account posted, ""feet pics."""
feet pics,"In a messy group chat, somebody said, ""Why are they talking about feet pics again?"""
feet pics,"The line in the script-style argument was, ""You really just said feet pics out loud?"""
thirsty,"The DM got weird fast when someone typed, ""thirsty,"" and waited for a reply."
thirsty,"At the back of the room they were giggling over a message that said, ""thirsty."""
thirsty,"The comment section got shut down after one account posted, ""thirsty."""
thirsty,"In a messy group chat, somebody said, ""Why are they talking about thirsty again?"""
thirsty,"The line in the script-style argument was, ""You really just said thirsty out loud?"""
thirsting,"The DM got weird fast when someone typed, ""thirsting,"" and waited for a reply."
thirsting,"At the back of the room they were giggling over a message that said, ""thirsting."""
thirsting,"The comment section got shut down after one account posted, ""thirsting."""
thirsting,"In a messy group chat, somebody said, ""Why are they talking about thirsting again?"""
thirsting,"The line in the script-style argument was, ""You really just said thirsting out loud?"""
devious lick,"In the chat somebody bragged, ""That was a full devious lick and nobody caught us."""
devious lick,"At lunch they kept replaying the story like, ""Bro tried a devious lick at school."""
devious lick,"The line that got everyone staring was, ""devious lick was not even worth getting caught for."""
devious lick,"In a movie-script kind of voice, he says, ""One more devious lick and we are suspended."""
devious lick,"A message in the thread said, ""Do not make this another devious lick situation."""
lick,"In the chat somebody bragged, ""That was a full lick and nobody caught us."""
lick,"At lunch they kept replaying the story like, ""Bro tried a lick at school."""
lick,"The line that got everyone staring was, ""lick was not even worth getting caught for."""
lick,"In a movie-script kind of voice, he says, ""One more lick and we are suspended."""
lick,"A message in the thread said, ""Do not make this another lick situation."""
opp pack,"Outside class somebody said, ""opp pack, then,"" like they wanted a fight after school."
opp pack,"The boys in the group chat were typing, ""opp pack if he keeps talking."""
opp pack,"A voice note ended with, ""opp pack, I am not joking."""
opp pack,"In the movie-style hallway scene, one kid snaps, ""opp pack,"" and steps forward."
opp pack,"At recess the rumor going around was, ""He said opp pack the second he sees him."""
on sight,"Outside class somebody said, ""on sight, then,"" like they wanted a fight after school."
on sight,"The boys in the group chat were typing, ""on sight if he keeps talking."""
on sight,"A voice note ended with, ""on sight, I am not joking."""
on sight,"In the movie-style hallway scene, one kid snaps, ""on sight,"" and steps forward."
on sight,"At recess the rumor going around was, ""He said on sight the second he sees him."""
run the fade,"Outside class somebody said, ""run the fade, then,"" like they wanted a fight after school."
run the fade,"The boys in the group chat were typing, ""run the fade if he keeps talking."""
run the fade,"A voice note ended with, ""run the fade, I am not joking."""
run the fade,"In the movie-style hallway scene, one kid snaps, ""run the fade,"" and steps forward."
run the fade,"At recess the rumor going around was, ""He said run the fade the second he sees him."""
catch these hands,"Outside class somebody said, ""catch these hands, then,"" like they wanted a fight after school."
catch these hands,"The boys in the group chat were typing, ""catch these hands if he keeps talking."""
catch these hands,"A voice note ended with, ""catch these hands, I am not joking."""
catch these hands,"In the movie-style hallway scene, one kid snaps, ""catch these hands,"" and steps forward."
catch these hands,"At recess the rumor going around was, ""He said catch these hands the second he sees him."""
swing first,"Outside class somebody said, ""swing first, then,"" like they wanted a fight after school."
swing first,"The boys in the group chat were typing, ""swing first if he keeps talking."""
swing first,"A voice note ended with, ""swing first, I am not joking."""
swing first,"In the movie-style hallway scene, one kid snaps, ""swing first,"" and steps forward."
swing first,"At recess the rumor going around was, ""He said swing first the second he sees him."""
snatched,"In the group chat somebody typed, ""snatched,"" and five people answered at once."
snatched,"At the lunch table one friend said, ""snatched,"" and everybody knew what she meant."
snatched,"The caption under the selfie was just, ""snatched,"" with three laughing emojis."
snatched,"In a movie-scene kind of exchange, one kid leans over and goes, ""snatched."""
snatched,"Walking out of class, I heard someone say, ""snatched,"" like the whole thing was obvious."
ate and left no crumbs,"In the group chat somebody typed, ""ate and left no crumbs,"" and five people answered at once."
ate and left no crumbs,"At the lunch table one friend said, ""ate and left no crumbs,"" and everybody knew what she meant."
ate and left no crumbs,"The caption under the selfie was just, ""ate and left no crumbs,"" with three laughing emojis."
ate and left no crumbs,"In a movie-scene kind of exchange, one kid leans over and goes, ""ate and left no crumbs."""
ate and left no crumbs,"Walking out of class, I heard someone say, ""ate and left no crumbs,"" like the whole thing was obvious."
serving,"In the group chat somebody typed, ""serving,"" and five people answered at once."
serving,"At the lunch table one friend said, ""serving,"" and everybody knew what she meant."
serving,"The caption under the selfie was just, ""serving,"" with three laughing emojis."
serving,"In a movie-scene kind of exchange, one kid leans over and goes, ""serving."""
serving,"Walking out of class, I heard someone say, ""serving,"" like the whole thing was obvious."
serve,"In the group chat somebody typed, ""serve,"" and five people answered at once."
serve,"At the lunch table one friend said, ""serve,"" and everybody knew what she meant."
serve,"The caption under the selfie was just, ""serve,"" with three laughing emojis."
serve,"In a movie-scene kind of exchange, one kid leans over and goes, ""serve."""
serve,"Walking out of class, I heard someone say, ""serve,"" like the whole thing was obvious."
girl math,"In the group chat somebody typed, ""girl math,"" and five people answered at once."
girl math,"At the lunch table one friend said, ""girl math,"" and everybody knew what she meant."
girl math,"The caption under the selfie was just, ""girl math,"" with three laughing emojis."
girl math,"In a movie-scene kind of exchange, one kid leans over and goes, ""girl math."""
girl math,"Walking out of class, I heard someone say, ""girl math,"" like the whole thing was obvious."
boy math,"In the group chat somebody typed, ""boy math,"" and five people answered at once."
boy math,"At the lunch table one friend said, ""boy math,"" and everybody knew what she meant."
boy math,"The caption under the selfie was just, ""boy math,"" with three laughing emojis."
boy math,"In a movie-scene kind of exchange, one kid leans over and goes, ""boy math."""
boy math,"Walking out of class, I heard someone say, ""boy math,"" like the whole thing was obvious."
girl dinner,"In the group chat somebody typed, ""girl dinner,"" and five people answered at once."
girl dinner,"At the lunch table one friend said, ""girl dinner,"" and everybody knew what she meant."
girl dinner,"The caption under the selfie was just, ""girl dinner,"" with three laughing emojis."
girl dinner,"In a movie-scene kind of exchange, one kid leans over and goes, ""girl dinner."""
girl dinner,"Walking out of class, I heard someone say, ""girl dinner,"" like the whole thing was obvious."
npc energy,"At the lunch table somebody went, ""npc energy? Yeah, that is exactly what he is."""
npc energy,"In the group chat one kid replied, ""npc energy, just log off already."""
npc energy,"The hallway argument ended with, ""Be quiet, npc energy."""
npc energy,"In the script-style exchange, one friend mutters, ""npc energy,"" and walks away."
npc energy,"A caption under the video read, ""Whole comment section acting npc energy today."""
villain arc,"In the group chat somebody typed, ""villain arc,"" and five people answered at once."
villain arc,"At the lunch table one friend said, ""villain arc,"" and everybody knew what she meant."
villain arc,"The caption under the selfie was just, ""villain arc,"" with three laughing emojis."
villain arc,"In a movie-scene kind of exchange, one kid leans over and goes, ""villain arc."""
villain arc,"Walking out of class, I heard someone say, ""villain arc,"" like the whole thing was obvious."
glazing,"At the lunch table somebody went, ""glazing? Yeah, that is exactly what he is."""
glazing,"In the group chat one kid replied, ""glazing, just log off already."""
glazing,"The hallway argument ended with, ""Be quiet, glazing."""
glazing,"In the script-style exchange, one friend mutters, ""glazing,"" and walks away."
glazing,"A caption under the video read, ""Whole comment section acting glazing today."""
meatriding,"At the lunch table somebody went, ""meatriding? Yeah, that is exactly what he is."""
meatriding,"In the group chat one kid replied, ""meatriding, just log off already."""
meatriding,"The hallway argument ended with, ""Be quiet, meatriding."""
meatriding,"In the script-style exchange, one friend mutters, ""meatriding,"" and walks away."
meatriding,"A caption under the video read, ""Whole comment section acting meatriding today."""
meat riding,"At the lunch table somebody went, ""meat riding? Yeah, that is exactly what he is."""
meat riding,"In the group chat one kid replied, ""meat riding, just log off already."""
meat riding,"The hallway argument ended with, ""Be quiet, meat riding."""
meat riding,"In the script-style exchange, one friend mutters, ""meat riding,"" and walks away."
meat riding,"A caption under the video read, ""Whole comment section acting meat riding today."""
cooked beyond repair,"In the group chat somebody typed, ""cooked beyond repair,"" and five people answered at once."
cooked beyond repair,"At the lunch table one friend said, ""cooked beyond repair,"" and everybody knew what she meant."
cooked beyond repair,"The caption under the selfie was just, ""cooked beyond repair,"" with three laughing emojis."
cooked beyond repair,"In a movie-scene kind of exchange, one kid leans over and goes, ""cooked beyond repair."""
cooked beyond repair,"Walking out of class, I heard someone say, ""cooked beyond repair,"" like the whole thing was obvious."
deep fried,"In the group chat somebody typed, ""deep fried,"" and five people answered at once."
deep fried,"At the lunch table one friend said, ""deep fried,"" and everybody knew what she meant."
deep fried,"The caption under the selfie was just, ""deep fried,"" with three laughing emojis."
deep fried,"In a movie-scene kind of exchange, one kid leans over and goes, ""deep fried."""
deep fried,"Walking out of class, I heard someone say, ""deep fried,"" like the whole thing was obvious."
fried,"In the group chat somebody typed, ""fried,"" and five people answered at once."
fried,"At the lunch table one friend said, ""fried,"" and everybody knew what she meant."
fried,"The caption under the selfie was just, ""fried,"" with three laughing emojis."
fried,"In a movie-scene kind of exchange, one kid leans over and goes, ""fried."""
fried,"Walking out of class, I heard someone say, ""fried,"" like the whole thing was obvious."
bop,"The DM got weird fast when someone typed, ""bop,"" and waited for a reply."
bop,"At the back of the room they were giggling over a message that said, ""bop."""
bop,"The comment section got shut down after one account posted, ""bop."""
bop,"In a messy group chat, somebody said, ""Why are they talking about bop again?"""
bop,"The line in the script-style argument was, ""You really just said bop out loud?"""
ran through,"The DM got weird fast when someone typed, ""ran through,"" and waited for a reply."
ran through,"At the back of the room they were giggling over a message that said, ""ran through."""
ran through,"The comment section got shut down after one account posted, ""ran through."""
ran through,"In a messy group chat, somebody said, ""Why are they talking about ran through again?"""
ran through,"The line in the script-style argument was, ""You really just said ran through out loud?"""
for the streets,"The DM got weird fast when someone typed, ""for the streets,"" and waited for a reply."
for the streets,"At the back of the room they were giggling over a message that said, ""for the streets."""
for the streets,"The comment section got shut down after one account posted, ""for the streets."""
for the streets,"In a messy group chat, somebody said, ""Why are they talking about for the streets again?"""
for the streets,"The line in the script-style argument was, ""You really just said for the streets out loud?"""
chat is this real,"In the group chat somebody typed, ""chat is this real,"" and five people answered at once."
chat is this real,"At the lunch table one friend said, ""chat is this real,"" and everybody knew what she meant."
chat is this real,"The caption under the selfie was just, ""chat is this real,"" with three laughing emojis."
chat is this real,"In a movie-scene kind of exchange, one kid leans over and goes, ""chat is this real."""
chat is this real,"Walking out of class, I heard someone say, ""chat is this real,"" like the whole thing was obvious."
chat am i cooked,"In the group chat somebody typed, ""chat am i cooked,"" and five people answered at once."
chat am i cooked,"At the lunch table one friend said, ""chat am i cooked,"" and everybody knew what she meant."
chat am i cooked,"The caption under the selfie was just, ""chat am i cooked,"" with three laughing emojis."
chat am i cooked,"In a movie-scene kind of exchange, one kid leans over and goes, ""chat am i cooked."""
chat am i cooked,"Walking out of class, I heard someone say, ""chat am i cooked,"" like the whole thing was obvious."
ts pmo,"At the lunch table somebody went, ""ts pmo? Yeah, that is exactly what he is."""
ts pmo,"In the group chat one kid replied, ""ts pmo, just log off already."""
ts pmo,"The hallway argument ended with, ""Be quiet, ts pmo."""
ts pmo,"In the script-style exchange, one friend mutters, ""ts pmo,"" and walks away."
ts pmo,"A caption under the video read, ""Whole comment section acting ts pmo today."""
ts,"In the group chat somebody typed, ""ts,"" and five people answered at once."
ts,"At the lunch table one friend said, ""ts,"" and everybody knew what she meant."
ts,"The caption under the selfie was just, ""ts,"" with three laughing emojis."
ts,"In a movie-scene kind of exchange, one kid leans over and goes, ""ts."""
ts,"Walking out of class, I heard someone say, ""ts,"" like the whole thing was obvious."
pmo,"In the group chat somebody typed, ""pmo,"" and five people answered at once."
pmo,"At the lunch table one friend said, ""pmo,"" and everybody knew what she meant."
pmo,"The caption under the selfie was just, ""pmo,"" with three laughing emojis."
pmo,"In a movie-scene kind of exchange, one kid leans over and goes, ""pmo."""
pmo,"Walking out of class, I heard someone say, ""pmo,"" like the whole thing was obvious."
stfu,"A kid looked at the broken project and said, ""stfu, we have to start over."""
